device,readout_error,channel,amplitude,eta,method,nq,q_acc,target_threshold,is_observed,is_extrapolated,is_trivial_regime,is_meaningful,is_near_random,is_random_baseline_fix,is_inference_point,random_baseline_eps,random_baseline_threshold,nq_cutoff,pred_status,target_in_pred_range,extrapolation_trusted,extrapolation_reason,interval_method_requested,interval_method_effective,interval_method_fallback_reason,interval_method_fallback_n_abs_errors,conformal_n_abs_errors,conformal_holdout_nq,strict_split_conformal_requested,strict_split_conformal_active,strict_split_reason,interval_uncertainty_source,curve_bootstrap_n_valid,curve_bootstrap_fit_mode,log2_nps,nps,sigma_log2_nps,sigma_wls_log2_nps,sigma_eff_log2_nps,ci_halfwidth_log2_nps,sigma_cv,sigma_cv_k,sigma_cv_k_obs,sigma_cv_k_extrap,sigma_cv_log2_at_obs_max,sigma_cv_log2_gate_at_obs_max,log2_nps_lo,log2_nps_hi,nps_lo,nps_hi,predictor_name,predictor_thr_min,predictor_thr_max
S,1%,dephasing,0.01,0.01,hypergraph,26,0.5035296902229861,0.4935296902229861,false,true,true,false,true,true,false,0.02,0.52,19,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,,,,,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,27,0.5023975795575639,0.4923975795575639,false,true,true,false,true,true,false,0.02,0.52,19,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,,,,,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,28,0.501602841524923,0.49160284152492295,false,true,true,false,true,true,false,0.02,0.52,19,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,,,,,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,29,0.5010544931018823,0.4910544931018823,false,true,true,false,true,true,false,0.02,0.52,19,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,,,,,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,30,0.5006826345912558,0.49068263459125583,false,true,true,false,true,true,false,0.02,0.52,19,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,,,,,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,31,0.5004347917094811,0.4904347917094811,false,true,true,false,true,true,false,0.02,0.52,19,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,,,,,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,32,0.5002724462374392,0.49027244623743915,false,true,true,false,true,true,false,0.02,0.52,19,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,,,,,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,33,0.500167936944234,0.490167936944234,false,true,true,false,true,true,false,0.02,0.52,19,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,,,,,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,34,0.5001018211166626,0.49010182111666256,false,true,true,false,true,true,false,0.02,0.52,19,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,,,,,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,35,0.5000607179249793,0.4900607179249793,false,true,true,false,true,true,false,0.02,0.52,19,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,,,,,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,36,0.5000356078413042,0.4900356078413042,false,true,true,false,true,true,false,0.02,0.52,19,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,,,,,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,37,0.5000205346406249,0.4900205346406249,false,true,true,false,true,true,false,0.02,0.52,19,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,,,,,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,38,0.5000116440808777,0.4900116440808777,false,true,true,false,true,true,false,0.02,0.52,19,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,,,,,opt1_dense_hg,0.51,0.97
