device,readout_error,channel,amplitude,eta,method,nq,q_acc,target_threshold,is_observed,is_extrapolated,is_trivial_regime,is_meaningful,is_near_random,is_random_baseline_fix,is_inference_point,random_baseline_eps,random_baseline_threshold,nq_cutoff,pred_status,target_in_pred_range,extrapolation_trusted,extrapolation_reason,interval_method_requested,interval_method_effective,interval_method_fallback_reason,interval_method_fallback_n_abs_errors,conformal_n_abs_errors,conformal_holdout_nq,strict_split_conformal_requested,strict_split_conformal_active,strict_split_reason,interval_uncertainty_source,curve_bootstrap_n_valid,curve_bootstrap_fit_mode,log2_nps,nps,sigma_log2_nps,sigma_wls_log2_nps,sigma_eff_log2_nps,ci_halfwidth_log2_nps,sigma_cv,sigma_cv_k,sigma_cv_k_obs,sigma_cv_k_extrap,sigma_cv_log2_at_obs_max,sigma_cv_log2_gate_at_obs_max,log2_nps_lo,log2_nps_hi,nps_lo,nps_hi,predictor_name,predictor_thr_min,predictor_thr_max
T,0.1%,depolarizing,0.1,0.02,eigenshadow,26,0.5080695957382143,0.4880695957382143,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,27,0.5067637333255899,0.48676373332558986,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,28,0.5056610132643639,0.48566101326436384,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,29,0.5047311949128928,0.48473119491289274,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,30,0.5039483220526124,0.4839483220526124,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,31,0.5032901489535819,0.4832901489535819,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,32,0.5027376385920109,0.4827376385920109,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,33,0.5022745245689859,0.4822745245689859,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,34,0.5018869291997953,0.48188692919979526,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,35,0.501563031068425,0.481563031068425,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,36,0.5012927760820942,0.4812927760820942,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,37,0.5010676267249102,0.4810676267249102,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
